DNA_plate	DNA_well	sid	phylo_entropy	quadratic	unrooted_pd	rooted_pd	bwpd
P9	F11	S854	2.41317	1.01675	10.4748	10.4748	2.43027
P9	F12	S862	2.08609	0.827117	10.6601	10.6601	1.99135
P9	F1	S774	3.29966	0.872592	139.034	139.034	1.96548
P9	F2	S782	3.21855	0.920803	124.389	124.389	2.11611
P9	F3	S790	3.33325	0.922248	121.049	121.049	2.0699
P9	F4	S798	3.21104	0.872184	123.869	123.869	1.96968
P9	F5	S806	3.35554	0.930077	126.75	126.75	2.09263
P9	F6	S814	3.42433	0.964336	115.237	115.237	2.17182
P9	F7	S822	3.18708	0.860854	128.777	128.777	1.95506
P9	F8	S830	2.89507	0.893014	118.309	118.309	2.28313
P9	F9	S838	3.027	0.821341	110.175	110.175	1.8541
P9	G10	S847	3.2059	0.887875	116.832	116.832	2.01478
P9	G11	S855	2.21048	0.791665	12.9245	12.9245	1.76452
P9	G12	S863	2.98361	0.962061	26.6289	26.6289	2.12552
P9	G1	S775	3.20306	0.913941	129.736	129.736	2.16345
P9	G2	S783	3.1776	0.875319	120.504	120.504	2.01659
P9	G3	S791	3.30754	0.878272	132.767	132.767	1.96221
P9	G4	S799	3.30686	0.903164	127.883	127.883	2.01359
P9	G5	S807	3.22402	0.865	130.465	130.465	1.95985
P9	G6	S815	3.33523	0.932917	130.566	130.566	2.1436
P9	G7	S823	3.22385	0.895077	117.563	117.563	2.0096
P9	G8	S831	1.27169	0.32599	60.1536	60.1536	0.692133
P9	G9	S839	3.52832	0.982359	133.229	133.229	2.23192
P9	H10	S848	3.07737	0.886884	112.693	112.693	2.03963
P9	H11	S856	2.55547	0.869052	21.6635	21.6635	1.9847
P9	H12	S864	2.42515	0.868399	15.6879	15.6879	1.96324
P9	H1	S776	3.36832	0.935921	132.91	132.91	2.11778
P9	H2	S784	3.14265	0.877129	123.43	123.43	2.03026
P9	H3	S792	3.21967	0.892148	130.765	130.765	2.04138
P9	H4	S800	3.19079	0.878548	132.807	132.807	2.02042
P9	H5	S808	2.16132	0.74548	80.4414	80.4414	2.025
P9	H6	S816	3.10265	0.885247	120.498	120.498	2.03987
P9	H7	S824	2.98991	0.890406	108.78	108.78	2.07186
P9	H8	S832	3.49908	0.977968	125.905	125.905	2.18448
P9	H9	S840	3.28668	0.887457	138.655	138.655	2.02248
